ID;Name;Description;Base Planning Level;Stored Key Figure;Calculated Key Figure;Alert Key Figure;Helper Key Figure;Generated Key Figure;Attribute Transformation;Used in Key Figures;Business Meaning;Enable Change History;Enable Planning Notes;Planning Level for Planning Notes;Enable Fixing;Order Key Figure Quantity;Aggregation Mode;Disaggregation Mode;Proportionality;Key Figure for Proportionality;Period Weight Factor;Conversion Mode;Conversion Type;Unit of Measure Conversion Configuration;Currency Conversion Configuration;Disaggregation Expression;Edit Allowed;Input/Output for Supply Planning;Input/Output for TS Forecast Consumption;Convert Using;Aggregated Constraint;Decimals;Display Format;L Script;Calculation Definitions;Snapshot Key Figure;Input Key Figures;Created By;Created On (UTC);Changed By;Changed On (UTC);Active;Hashtags;Distance from Data Source;Key Figure Notes;Calculation Notes
I22UOMCONVFACTOR;UOM Conversion Factor22;UOM Conversion Factor22;PRODUOMTO;X;;;;;;"TARGETQTY, FORECASTPRICE";;;;;;;Avg;Copy Value;No Proportional Disaggregation;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;I22UOMCONVFACTOR@REQUEST = AVG(I22UOMCONVFACTOR@PRODUOMTO);;I22UOMCONVFACTOR;CB8980000051;2026-01-09T16:04:19.000Z;CB8980000051;2026-01-09T16:05:00.000Z;A;;1;;
INITIALINVENTORYQTY;Initial Inventory Qty;Initial Inventory Qty;MTHPRODLOC;X;;;;;;;;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;INITIALINVENTORYQTY@REQUEST = SUM(INITIALINVENTORYQTY@MTHPRODLOC);;INITIALINVENTORYQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
INVENTORYTARGETQTY;INVENTORYTARGETQTY;INVENTORYTARGETQTY;MTHPRODLOC;X;;;;;;;;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;INVENTORYTARGETQTY@REQUEST = SUM(INVENTORYTARGETQTY@MTHPRODLOC);;INVENTORYTARGETQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
MARKETINGFORECASTQTY;Marketing Forecast Qty;Marketing Forecast Qty;PERPRODCUST;X;;;;;;;;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;MARKETINGFORECASTQTY@REQUEST = SUM(MARKETINGFORECASTQTY@PERPRODCUST);;MARKETINGFORECASTQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
PRICEUNIT;Unit Price;Unit Price;PERPRODCUST;X;;;;;;CONSENSUSDEMANDREV;;;;;;;;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;"PRICEUNIT@REQUEST = IF(ISNULL(CONSENSUSDEMANDQTY@REQUEST)OR CONSENSUSDEMANDQTY@REQUEST = 0, 0, CONSENSUSDEMANDREV@REQUEST  /  CONSENSUSDEMANDQTY@REQUEST)";;"CONSENSUSDEMANDQTY, CONSENSUSDEMANDREV";CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;4;;
PROMOTIONLIFTQTY;Promotion Lift Qty;Promotion Lift Qty;PERPRODCUST;X;;;;;;;;;;;;;Sum;Equal Distribution;Other Key Figure - Stored Values;MARKETINGFORECASTQTY;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;PROMOTIONLIFTQTY@REQUEST = SUM(PROMOTIONLIFTQTY@PERPRODCUST);;PROMOTIONLIFTQTY;CB8980000051;2026-01-07T11:51:21.000Z;CB8980000051;2026-01-07T11:51:21.000Z;A;;1;;
SALESFORECASTQTY;Sales Forecast Qty;Sales Forecast Qty;PERPRODCUST;X;;;;;;CONSENSUSDEMANDQTY;;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;;;6;;;SALESFORECASTQTY@REQUEST = SUM(SALESFORECASTQTY@PERPRODCUST);;SALESFORECASTQTY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
TARGETQTY;Target Quantity;Target Quantity;PERPRODCUST;X;;;;;;"TARGETREVENUE, FORECASTPRICEWTD";;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;I22UOMCONVFACTOR;;6;;;TARGETQTY@REQUEST = SUM(TARGETQTY@PERPRODCUSTUOMTO);;TARGETQTY;CB8980000051;2026-01-09T16:06:49.000Z;CB8980000051;2026-01-09T17:06:46.000Z;A;;2;;
TARGETQTY;Target Quantity;Target Quantity;PERPRODCUST;X;;;;;;"TARGETREVENUE, FORECASTPRICEWTD";;;;;;;Sum;Equal Distribution;Same Key Figure - Stored Values;;;Custom or None;;;;;Editable in the Current or Future Period;;;I22UOMCONVFACTOR;;6;;;TARGETQTY@PERPRODCUSTUOMTO = TARGETQTY@PERPRODCUST * I22UOMCONVFACTOR@PRODUOMTO;;"I22UOMCONVFACTOR, TARGETQTY";CB8980000051;2026-01-09T16:06:49.000Z;CB8980000051;2026-01-09T17:06:46.000Z;A;;2;;
TARGETREVENUE;Target Revenue;Target Revenue;PERPRODCUSTCURR;;X;;;;;FORECASTPRICEWTD;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;I22EXCHGRATE;;6;;;TARGETREVENUE@PERPRODCUSTCURR = TARGETQTY@PERPRODCUST*FORECASTPRICE@PERPRODCUSTCURR;;"FORECASTPRICE, TARGETQTY";CB8980000051;2026-01-09T14:22:59.000Z;CB8980000051;2026-01-17T17:34:35.000Z;A;;3;;
TARGETREVENUE;Target Revenue;Target Revenue;PERPRODCUSTCURR;;X;;;;;FORECASTPRICEWTD;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;I22EXCHGRATE;;6;;;TARGETREVENUE@REQUEST = SUM(TARGETREVENUE@PERPRODCUSTCURRCURRTO);;TARGETREVENUE;CB8980000051;2026-01-09T14:22:59.000Z;CB8980000051;2026-01-17T17:34:35.000Z;A;;3;;
TARGETREVENUE;Target Revenue;Target Revenue;PERPRODCUSTCURR;;X;;;;;FORECASTPRICEWTD;;;;;;;;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;I22EXCHGRATE;;6;;;TARGETREVENUE@PERPRODCUSTCURRCURRTO = TARGETREVENUE@PERPRODCUSTCURR * I22EXCHGRATE@PERCURRCURRTO;;"TARGETREVENUE, I22EXCHGRATE";CB8980000051;2026-01-09T14:22:59.000Z;CB8980000051;2026-01-17T17:34:35.000Z;A;;3;;
TIMELESSINVENTORY;Timeless Inventory Qty;;PRODLOC;X;;;;;;;;;;;;;Sum;;No Proportional Disaggregation;;;Custom or None;;;;;Not Editable;;;;;6;;;TIMELESSINVENTORY@REQUEST = SUM(TIMELESSINVENTORY@PRODLOC);;TIMELESSINVENTORY;CB8980000051;2026-01-07T07:14:35.000Z;CB8980000051;2026-01-07T07:14:35.000Z;A;;1;;
